Index No.,1st 3 digits Zip Code,Enlisted***RACE/GENDER***WHITE MALE,Enlisted***RACE/GENDER***WHITE FEMALE,Enlisted***RACE/GENDER***BLACK MALE,Enlisted***RACE/GENDER***BLACK FEMALE,Enlisted***RACE/GENDER***AMER IND/AK NAT MALE,Enlisted***RACE/GENDER***AMER IND/AK NAT FEMALE,Enlisted***RACE/GENDER***ASIAN/PAC ISL MALE,Enlisted***RACE/GENDER***ASIAN/PAC ISL FEMALE,Enlisted***RACE/GENDER***OTHER MALE,Enlisted***RACE/GENDER***OTHER FEMALE,Enlisted***RACE/GENDER***UNK RACE MALE,Enlisted***RACE/GENDER***UNK RACE FEMALE,Total,Enlisted**HISPANIC/GENDER***Non-Hispanic Male,Enlisted**HISPANIC/GENDER***Non-Hispanic Female,Total,Enlisted***EDUCATION***Unknown Educ,Enlisted***EDUCATION***No HS Diploma,Enlisted***EDUCATION***HS+,Enlisted***EDUCATION***BA/BS,Enlisted***EDUCATION***MA/MS,Enlisted***EDUCATION***PHD,Enlisted***EDUCATION***Alt. Educ.,Total,Enlisted***AGE IN YEARS***< 18,Enlisted***AGE IN YEARS***18 to 21,Enlisted***AGE IN YEARS***22 to 29,Enlisted***AGE IN YEARS***>=30,Enlisted***AGE IN YEARS***Unknown,Total,Officers***RACE/GENDER***WHITE MALE,Officers***RACE/GENDER***WHITE FEMALE,Officers***RACE/GENDER***BLACK MALE,Officers***RACE/GENDER***BLACK FEMALE,Officers***RACE/GENDER***AMER IND/AK NAT MALE,Officers***RACE/GENDER***AMER IND/AK NAT FEMALE,Officers***RACE/GENDER***ASIAN/PAC ISL MALE,Officers***RACE/GENDER***ASIAN/PAC ISL FEMALE,Officers***RACE/GENDER***OTHER MALE,Officers***RACE/GENDER***OTHER FEMALE,Officers***RACE/GENDER***UNK RACE MALE,Officers***RACE/GENDER***UNK RACE FEMALE,Total,Officers**HISPANIC/GENDER***Non-Hispanic Male,Officers**HISPANIC/GENDER***Non-Hispanic Female,Total,Officers***EDUCATION***Unknown Educ,Officers***EDUCATION***No HS Diploma,Officers***EDUCATION***HS+,Officers***EDUCATION***BA/BS,Officers***EDUCATION***MA/MS,Officers***EDUCATION***PHD,Officers***EDUCATION***Alt. Educ.,Total,Officers***AGE IN YEARS***18 to 21,Officers***AGE IN YEARS***22 to 29,Officers***AGE IN YEARS***>=30,Officers***AGE IN YEARS***Unknown,Total
77,077,888,79,196,51,6,0,43,3,36,6,64,9,1381,1233,148,1381,17,7,1231,73,8,3,42,1381,0,271,652,458,0,1381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,078,661,61,35,2,5,0,22,2,16,2,34,2,842,773,69,842,6,3,756,40,4,0,33,842,1,206,412,223,0,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,079,162,12,17,4,3,0,10,0,5,0,8,2,223,205,18,223,4,1,195,18,1,0,4,223,0,45,97,81,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,080,2242,263,654,160,13,3,87,10,73,14,97,23,3639,3166,473,3639,21,16,3306,167,18,1,110,3639,0,658,1801,1180,0,3639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,081,189,24,158,36,3,1,22,3,6,1,32,5,480,410,70,480,3,5,435,20,4,0,13,480,0,91,206,183,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,082,496,51,84,22,3,0,30,6,9,2,44,6,753,666,87,753,3,4,682,35,3,0,26,753,0,177,358,218,0,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,083,538,80,133,41,9,2,17,1,22,2,37,8,890,756,134,890,7,5,809,35,3,0,31,890,3,225,411,251,0,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,084,40,5,41,11,1,0,13,3,1,0,12,2,129,108,21,129,0,0,112,9,1,0,7,129,0,30,53,46,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,085,367,33,53,11,3,3,15,0,11,0,20,4,520,469,51,520,6,1,472,20,1,0,20,520,1,112,243,164,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,086,273,24,263,68,1,0,11,0,7,1,40,6,694,595,99,694,2,4,618,35,3,1,31,694,0,105,351,238,0,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,087,767,81,63,12,5,0,27,4,11,4,38,2,1014,911,103,1014,11,9,904,49,0,1,40,1014,0,218,493,303,0,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,088,1095,108,221,40,2,0,67,11,45,11,109,18,1727,1539,188,1727,12,9,1569,71,12,0,54,1727,0,395,858,474,0,1727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,089,78,10,52,9,0,0,10,2,2,1,13,2,179,155,24,179,5,0,165,4,1,0,4,179,1,39,90,49,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,090,12,2,5,0,0,0,1,0,1,0,1,0,22,20,2,22,0,0,18,2,0,0,2,22,0,4,5,13,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,091,18,1,6,0,1,0,2,1,1,0,3,1,34,31,3,34,0,0,26,4,2,0,2,34,0,1,10,23,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,092,2,3,0,0,0,0,2,0,0,0,0,0,7,4,3,7,0,0,6,1,0,0,0,7,0,2,1,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,094,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,0,0,0,0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,095,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,5,0,0,0,0,5,0,2,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,096,10,0,0,0,0,0,1,0,0,0,0,0,11,11,0,11,0,0,11,0,0,0,0,11,0,2,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,097,3,0,0,1,1,1,0,0,0,0,0,0,6,4,2,6,0,0,6,0,0,0,0,6,0,1,4,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,098,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,099,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,100,490,74,549,183,6,2,96,21,46,9,443,96,2015,1630,385,2015,26,19,1666,158,33,2,111,2015,2,201,905,907,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,101,11,2,3,1,0,0,1,0,0,0,6,0,24,21,3,24,0,0,22,0,1,0,1,24,0,4,12,8,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,102,1,1,0,0,0,0,1,0,0,0,0,0,3,2,1,3,0,0,3,0,0,0,0,3,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,103,457,54,200,49,6,1,47,10,9,2,74,12,921,793,128,921,10,6,782,56,8,0,59,921,1,164,462,294,0,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,104,1008,174,1715,499,24,8,72,17,61,32,957,181,4748,3837,911,4748,56,41,4088,273,35,4,251,4748,7,630,2060,2051,0,4748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,105,476,51,202,51,3,1,25,3,29,3,65,12,921,800,121,921,11,5,788,61,13,0,43,921,2,195,411,313,0,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,106,43,4,28,4,1,0,5,0,6,0,10,1,102,93,9,102,0,1,90,8,0,0,3,102,0,18,53,31,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,107,153,21,110,25,1,1,22,4,15,3,70,10,435,371,64,435,3,2,385,21,3,0,21,435,0,108,192,135,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,108,55,6,36,9,1,1,3,0,1,0,9,7,128,105,23,128,4,1,111,6,3,0,3,128,2,35,42,49,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,109,673,65,142,41,5,1,29,5,12,3,72,13,1061,933,128,1061,16,7,924,68,6,0,40,1061,3,243,483,332,0,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,110,126,13,80,22,4,0,33,1,5,6,27,6,323,275,48,323,0,0,285,21,5,0,12,323,0,44,165,114,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,111,104,16,51,15,1,1,35,4,3,1,78,10,319,272,47,319,6,1,256,26,6,0,24,319,0,20,141,158,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,112,1095,154,3299,1216,17,8,254,48,93,29,741,182,7136,5499,1637,7136,90,44,6052,487,85,0,378,7136,2,771,3095,3268,0,7136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,113,682,104,239,58,12,0,451,106,33,7,370,84,2146,1787,359,2146,27,22,1757,177,33,2,128,2146,4,298,1003,841,0,2146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,114,316,46,1201,404,6,2,151,27,54,19,258,68,2552,1986,566,2552,25,18,2191,177,25,1,115,2552,2,304,1094,1152,0,2552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,115,546,66,369,109,4,0,49,5,29,10,101,19,1307,1098,209,1307,13,6,1143,90,11,0,44,1307,2,263,569,473,0,1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,116,54,7,154,66,0,0,8,1,7,4,36,12,349,259,90,349,5,0,298,17,8,0,21,349,0,32,155,162,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,117,2071,222,373,87,16,0,59,13,48,7,182,35,3113,2749,364,3113,30,24,2793,142,32,1,91,3113,5,733,1394,981,0,3113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,118,59,5,3,1,0,0,12,2,0,1,3,0,86,77,9,86,1,0,73,10,1,0,1,86,1,22,39,24,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,119,482,55,56,8,4,0,8,1,11,0,16,1,642,577,65,642,8,7,584,21,4,0,18,642,2,161,295,184,0,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,120,856,101,24,5,18,0,13,4,16,4,21,0,1062,948,114,1062,10,9,922,51,6,1,63,1062,1,254,493,314,0,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,121,695,97,42,12,10,1,13,2,17,4,12,3,908,789,119,908,7,3,802,45,4,0,47,908,1,202,406,299,0,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,122,176,26,82,23,2,0,7,0,7,1,9,0,333,283,50,333,6,2,270,31,2,0,22,333,1,69,150,113,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,123,322,48,49,10,5,1,7,2,8,3,13,0,468,404,64,468,0,4,408,21,4,0,31,468,1,112,205,150,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,124,334,50,31,6,5,2,1,0,6,1,13,3,452,390,62,452,7,2,396,23,2,0,22,452,1,93,190,168,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,125,932,116,123,33,26,3,10,5,27,4,64,14,1357,1182,175,1357,12,4,1241,45,4,0,51,1357,1,328,627,401,0,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,126,142,18,54,14,2,2,2,1,7,1,11,0,254,218,36,254,0,3,222,13,2,0,14,254,0,66,111,77,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,127,331,46,37,13,1,1,1,0,5,1,24,3,463,399,64,463,3,6,399,23,1,0,31,463,1,107,205,150,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,128,777,89,20,3,17,5,6,1,9,0,8,1,936,837,99,936,7,6,841,34,3,0,45,936,2,181,451,302,0,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,129,647,89,8,2,5,0,9,1,9,3,13,1,787,691,96,787,8,4,705,44,4,0,22,787,2,138,327,320,0,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,130,1347,160,46,9,13,3,16,3,12,1,22,4,1636,1456,180,1636,8,13,1437,74,5,0,99,1636,1,351,785,499,0,1636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,131,783,101,9,3,11,3,7,1,8,2,7,1,936,825,111,936,12,7,824,39,3,0,51,936,1,202,437,296,0,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,132,430,44,140,26,9,4,11,0,7,3,12,2,688,609,79,688,5,5,581,36,5,0,56,688,0,123,314,251,0,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,133,581,61,3,3,3,3,4,0,2,1,6,4,671,599,72,671,0,3,609,27,4,0,28,671,2,153,299,217,0,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,134,729,80,24,5,5,1,11,2,2,1,10,4,874,781,93,874,6,7,778,36,1,1,45,874,2,179,395,298,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,135,124,16,36,16,1,0,4,0,0,1,9,0,207,174,33,207,2,1,173,9,2,0,20,207,0,30,93,84,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,136,1060,155,83,27,9,2,24,8,15,4,29,6,1422,1220,202,1422,10,6,1275,56,8,0,67,1422,0,251,648,523,0,1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,137,578,43,12,3,3,2,7,1,5,0,8,0,662,613,49,662,4,1,583,30,4,0,40,662,0,137,301,224,0,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,138,598,67,13,3,13,0,4,2,4,1,11,1,717,643,74,717,6,2,629,44,1,0,35,717,0,158,315,244,0,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,139,218,18,18,4,2,0,7,1,2,1,6,0,277,253,24,277,1,0,246,15,0,0,15,277,0,59,127,91,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,140,1421,197,43,11,13,4,16,1,5,2,27,2,1742,1525,217,1742,11,11,1544,81,9,0,86,1742,1,367,846,528,0,1742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,141,720,94,11,4,5,1,4,1,3,2,16,4,865,759,106,865,8,9,770,34,3,0,41,865,1,205,404,255,0,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,142,988,121,353,103,14,5,20,2,17,5,57,10,1695,1449,246,1695,16,7,1460,101,13,0,98,1695,1,292,730,672,0,1695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,143,183,27,47,20,4,0,3,0,2,3,8,6,303,247,56,303,4,1,264,10,2,0,22,303,0,48,141,114,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,144,1046,117,35,9,9,1,24,1,12,1,20,1,1276,1146,130,1276,7,6,1138,52,2,0,71,1276,3,309,619,345,0,1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,145,1049,110,35,6,16,3,14,4,18,2,28,1,1286,1160,126,1286,12,9,1163,46,3,0,53,1286,3,335,637,311,0,1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,146,792,88,355,70,14,1,24,8,19,7,50,11,1439,1254,185,1439,9,14,1221,81,19,0,95,1439,3,255,691,490,0,1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,147,894,112,19,5,6,1,4,2,3,1,15,1,1063,941,122,1063,12,2,950,38,7,0,54,1063,1,192,494,376,0,1063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,148,1195,144,8,9,15,2,7,1,9,2,16,1,1409,1250,159,1409,14,9,1257,59,11,1,58,1409,0,304,660,445,0,1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,149,178,24,12,6,2,0,2,1,0,0,3,0,228,197,31,228,0,1,200,11,2,0,14,228,0,51,92,85,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,150,1324,133,105,38,6,2,8,1,8,2,21,1,1649,1472,177,1649,15,9,1470,93,6,0,56,1649,1,346,723,579,0,1649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,151,806,104,109,31,3,1,11,0,3,2,18,1,1089,950,139,1089,5,11,973,51,12,0,37,1089,0,240,491,358,0,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,152,1209,145,344,84,4,1,29,1,13,2,16,5,1853,1615,238,1853,12,10,1610,140,20,0,61,1853,1,352,839,661,0,1853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,153,518,53,25,4,4,0,2,0,2,0,3,1,612,554,58,612,1,2,548,37,3,0,21,612,0,134,261,217,0,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,154,458,52,32,5,2,0,0,0,3,0,2,2,556,497,59,556,7,2,509,25,2,0,11,556,0,125,228,203,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,155,361,45,3,0,3,0,3,1,6,1,1,2,426,377,49,426,5,2,391,18,2,0,8,426,0,101,201,124,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,156,927,109,17,5,3,2,6,1,6,1,9,0,1086,968,118,1086,9,7,966,56,3,1,44,1086,1,247,487,351,0,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,157,382,45,9,4,4,0,2,0,0,0,5,2,453,402,51,453,1,6,406,23,2,0,15,453,0,91,202,160,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,158,433,66,1,0,1,0,2,1,1,1,5,0,511,443,68,511,4,2,464,28,3,0,10,511,0,96,244,171,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,159,559,83,28,6,0,2,3,0,2,1,9,1,694,601,93,694,5,1,627,41,2,0,18,694,0,135,272,287,0,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,160,575,49,7,0,3,0,5,0,0,2,10,0,651,600,51,651,3,3,589,22,3,0,31,651,0,171,295,185,0,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,161,813,101,41,13,3,0,2,2,2,2,15,1,995,876,119,995,7,7,896,39,8,0,38,995,0,234,452,309,0,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,162,339,30,4,0,1,0,0,0,0,0,7,0,381,351,30,381,1,1,359,13,0,0,7,381,0,99,176,106,0,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,163,796,124,15,1,3,0,5,0,5,0,20,2,971,844,127,971,6,4,885,43,5,0,28,971,0,216,438,317,0,971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,164,697,82,8,3,2,0,6,1,7,0,13,0,819,733,86,819,10,3,742,31,3,0,30,819,0,160,412,247,0,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,165,632,74,75,17,3,0,7,0,3,1,14,3,829,734,95,829,8,7,735,39,8,1,31,829,0,152,373,304,0,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,166,822,113,15,1,4,0,1,4,5,0,6,4,975,853,122,975,7,7,896,41,5,0,19,975,1,219,416,339,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,167,216,27,1,0,1,0,1,0,1,0,2,0,249,222,27,249,2,1,236,5,2,0,3,249,1,49,111,88,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,168,491,66,8,6,1,1,11,1,5,3,5,2,600,521,79,600,2,1,544,34,6,0,13,600,0,130,301,169,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,169,423,48,2,2,5,1,2,0,2,0,6,0,491,440,51,491,5,2,450,16,1,0,17,491,0,85,261,145,0,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,170,1864,224,67,22,22,6,33,9,14,11,41,8,2321,2041,280,2321,18,22,2089,93,9,0,90,2321,1,580,1047,693,0,2321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,171,290,34,152,37,4,2,12,4,9,1,15,6,566,482,84,566,4,3,497,35,0,0,27,566,0,99,230,237,0,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,172,640,104,31,5,7,3,12,1,4,2,6,3,818,700,118,818,5,7,737,33,3,0,33,818,1,201,385,231,0,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,173,1191,162,21,4,9,1,13,1,8,4,16,5,1435,1258,177,1435,9,9,1299,58,6,0,54,1435,0,363,713,359,0,1435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,174,365,51,73,18,6,1,13,1,7,0,15,4,554,479,75,554,9,2,497,22,3,0,21,554,0,115,269,170,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,175,781,92,15,4,2,1,11,4,19,2,11,6,948,839,109,948,5,1,872,29,3,0,38,948,0,268,462,218,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,176,284,50,48,17,2,0,4,5,3,2,32,14,461,373,88,461,3,4,411,22,2,0,19,461,1,101,209,150,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,177,731,99,41,10,14,3,4,0,9,2,13,1,927,812,115,927,8,6,822,37,8,0,46,927,0,216,423,288,0,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,178,820,91,12,3,9,1,5,1,5,4,13,2,966,864,102,966,8,11,870,41,1,1,34,966,0,214,456,296,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,179,370,55,6,1,5,0,4,0,3,1,3,1,449,391,58,449,0,3,413,17,2,0,14,449,0,113,215,121,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,180,1175,153,62,12,17,2,21,5,15,6,45,8,1521,1335,186,1521,13,10,1362,64,5,1,66,1521,1,376,725,419,0,1521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
