Index No.,1st 3 digits Zip Code,Enlisted***RACE/GENDER***WHITE MALE,Enlisted***RACE/GENDER***WHITE FEMALE,Enlisted***RACE/GENDER***BLACK MALE,Enlisted***RACE/GENDER***BLACK FEMALE,Enlisted***RACE/GENDER***AMER IND/AK NAT MALE,Enlisted***RACE/GENDER***AMER IND/AK NAT FEMALE,Enlisted***RACE/GENDER***ASIAN/PAC ISL MALE,Enlisted***RACE/GENDER***ASIAN/PAC ISL FEMALE,Enlisted***RACE/GENDER***OTHER MALE,Enlisted***RACE/GENDER***OTHER FEMALE,Enlisted***RACE/GENDER***UNK RACE MALE,Enlisted***RACE/GENDER***UNK RACE FEMALE,Total,Enlisted**HISPANIC/GENDER***Non-Hispanic Male,Enlisted**HISPANIC/GENDER***Non-Hispanic Female,Total,Enlisted***EDUCATION***Unknown Educ,Enlisted***EDUCATION***No HS Diploma,Enlisted***EDUCATION***HS+,Enlisted***EDUCATION***BA/BS,Enlisted***EDUCATION***MA/MS,Enlisted***EDUCATION***PHD,Enlisted***EDUCATION***Alt. Educ.,Total,Enlisted***AGE IN YEARS***< 18,Enlisted***AGE IN YEARS***18 to 21,Enlisted***AGE IN YEARS***22 to 29,Enlisted***AGE IN YEARS***>=30,Enlisted***AGE IN YEARS***Unknown,Total,Officers***RACE/GENDER***WHITE MALE,Officers***RACE/GENDER***WHITE FEMALE,Officers***RACE/GENDER***BLACK MALE,Officers***RACE/GENDER***BLACK FEMALE,Officers***RACE/GENDER***AMER IND/AK NAT MALE,Officers***RACE/GENDER***AMER IND/AK NAT FEMALE,Officers***RACE/GENDER***ASIAN/PAC ISL MALE,Officers***RACE/GENDER***ASIAN/PAC ISL FEMALE,Officers***RACE/GENDER***OTHER MALE,Officers***RACE/GENDER***OTHER FEMALE,Officers***RACE/GENDER***UNK RACE MALE,Officers***RACE/GENDER***UNK RACE FEMALE,Total,Officers**HISPANIC/GENDER***Non-Hispanic Male,Officers**HISPANIC/GENDER***Non-Hispanic Female,Total,Officers***EDUCATION***Unknown Educ,Officers***EDUCATION***No HS Diploma,Officers***EDUCATION***HS+,Officers***EDUCATION***BA/BS,Officers***EDUCATION***MA/MS,Officers***EDUCATION***PHD,Officers***EDUCATION***Alt. Educ.,Total,Officers***AGE IN YEARS***18 to 21,Officers***AGE IN YEARS***22 to 29,Officers***AGE IN YEARS***>=30,Officers***AGE IN YEARS***Unknown,Total
19,018,1172,122,60,14,13,6,79,12,22,5,91,21,1617,1437,180,1617,18,14,1432,77,14,0,62,1617,3,365,828,421,0,1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,019,743,86,53,11,10,0,27,5,9,2,27,7,980,869,111,980,8,8,858,50,7,0,49,980,0,242,469,269,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,020,562,41,22,4,17,0,11,1,10,2,12,3,685,634,51,685,9,2,591,51,5,0,27,685,0,160,330,195,0,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,021,1205,125,366,91,27,4,112,13,24,7,121,23,2118,1855,263,2118,12,13,1836,159,22,0,76,2118,2,447,924,745,0,2118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,022,11,1,4,1,0,0,12,0,0,0,0,0,29,27,2,29,1,0,24,1,3,0,0,29,0,4,11,14,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,023,918,86,104,18,39,8,20,2,11,3,26,10,1245,1118,127,1245,9,11,1131,57,2,0,35,1245,1,306,630,308,0,1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,024,228,22,26,5,4,0,17,2,6,1,10,3,324,291,33,324,6,3,265,34,5,0,11,324,0,58,172,94,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,025,265,35,16,2,9,0,5,1,5,0,3,1,342,303,39,342,1,1,311,22,0,0,7,342,0,60,179,103,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,026,348,53,12,4,8,3,7,3,5,0,7,0,450,387,63,450,6,6,405,17,1,0,15,450,0,110,211,129,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,027,1022,115,79,8,25,2,30,7,13,0,35,9,1345,1204,141,1345,10,11,1224,55,6,0,39,1345,1,332,619,393,0,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,028,1538,143,86,21,42,7,38,8,18,5,44,9,1959,1766,193,1959,10,15,1706,101,13,1,113,1959,1,403,940,615,0,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,029,450,58,107,24,7,3,29,5,13,3,65,11,775,671,104,775,8,2,670,38,4,0,53,775,2,139,364,270,0,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,030,1105,127,21,2,21,3,30,0,14,2,19,4,1348,1210,138,1348,10,10,1206,48,5,0,69,1348,1,321,674,352,0,1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,031,357,45,13,2,7,3,9,1,2,0,6,3,448,394,54,448,3,0,378,38,3,0,26,448,0,112,208,128,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,032,695,72,5,0,20,1,5,5,1,0,11,6,821,737,84,821,14,1,739,26,6,0,35,821,2,198,387,234,0,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,033,198,31,2,2,4,0,1,0,2,1,1,2,244,208,36,244,1,1,211,12,1,0,18,244,0,44,125,75,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,034,314,39,5,0,4,1,5,0,4,1,5,0,378,337,41,378,2,1,339,14,0,0,22,378,0,96,175,107,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,035,221,38,0,0,0,1,3,0,1,0,3,1,268,228,40,268,3,2,242,11,1,0,9,268,0,65,119,84,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,036,48,6,1,0,1,0,1,0,1,0,1,1,60,53,7,60,0,0,58,1,1,0,0,60,0,18,26,16,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,037,194,12,2,2,3,0,1,1,0,1,4,0,220,204,16,220,4,2,187,12,4,0,11,220,0,41,98,81,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,038,953,123,14,6,11,4,9,1,14,3,13,0,1151,1014,137,1151,5,6,1025,59,2,1,53,1151,0,242,545,364,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,039,157,13,1,0,3,2,2,0,3,0,3,0,184,169,15,184,3,1,153,13,0,0,14,184,0,33,83,68,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,040,1155,112,14,4,37,6,21,5,26,3,11,2,1396,1264,132,1396,14,10,1219,65,2,0,86,1396,0,331,652,413,0,1396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,041,261,36,14,4,4,2,22,4,2,4,4,0,357,307,50,357,3,2,301,20,2,0,29,357,0,70,152,135,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,042,821,85,13,2,25,3,11,2,9,1,5,2,979,884,95,979,4,6,874,39,1,0,55,979,0,209,439,331,0,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,043,374,40,7,2,7,2,3,1,4,3,2,0,445,397,48,445,2,2,408,12,1,0,20,445,0,97,206,142,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,044,777,88,10,2,18,2,12,0,4,2,17,0,932,838,94,932,3,4,842,34,5,0,44,932,0,169,461,302,0,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,045,174,30,5,0,8,5,1,2,4,0,2,1,232,194,38,232,3,1,207,7,3,0,11,232,0,42,120,70,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,046,250,45,2,1,9,2,3,0,0,0,3,1,316,267,49,316,3,4,283,13,2,0,11,316,0,64,121,131,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,047,327,31,1,2,3,1,3,1,4,2,6,1,382,344,38,382,3,1,337,25,2,0,14,382,0,56,130,196,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,048,106,9,0,1,3,1,3,2,0,0,3,0,128,115,13,128,2,1,112,7,0,0,6,128,0,30,54,44,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,049,712,64,7,0,11,2,7,1,9,0,12,0,825,758,67,825,6,4,741,37,1,0,36,825,1,159,392,273,0,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,050,152,23,2,0,1,1,0,0,0,0,3,1,183,158,25,183,2,1,163,6,1,1,9,183,0,35,76,72,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,051,72,9,0,0,0,0,0,0,3,1,1,0,86,76,10,86,2,2,73,7,1,0,1,86,0,9,36,41,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,052,80,7,0,0,1,0,1,0,1,0,0,0,90,83,7,90,1,1,75,10,0,0,3,90,0,11,41,38,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,053,82,9,1,0,3,0,0,0,4,1,0,0,100,90,10,100,1,2,87,3,0,0,7,100,0,24,51,25,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,054,496,30,11,2,4,3,5,2,3,1,8,0,565,527,38,565,3,3,498,33,3,0,25,565,1,116,262,186,0,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,056,223,24,4,0,2,0,3,2,0,2,3,1,264,235,29,264,3,2,237,15,1,0,6,264,0,53,112,99,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
